GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US01097,"Mobile County, Alabama",414659,26969,26349,28091,27066,28485,30228,26982,25012,24554,25050,27633,28094,26496,22262,15823,11239,7295,7031
0500000US01099,"Monroe County, Alabama",21512,1266,1337,1364,1450,1339,1187,1052,1350,1084,1408,1485,1608,1522,1216,1127,581,555,581
0500000US01101,"Montgomery County, Alabama",226941,15315,15403,14135,15037,17009,17390,15605,14036,14487,13566,14484,14899,13392,11038,7608,6146,3999,3392
0500000US01103,"Morgan County, Alabama",119122,7059,8221,7124,7610,6847,7463,7160,7466,7545,7964,8763,8293,7742,6542,5089,3407,2623,2204
0500000US01105,"Perry County, Alabama",9486,514,367,797,1007,986,244,390,839,456,338,544,625,615,540,510,240,259,215
0500000US01107,"Pickens County, Alabama",20298,1034,996,1187,1294,1222,1330,1315,1342,1031,1438,1564,1545,1271,1359,778,605,463,524
0500000US01109,"Pike County, Alabama",33403,1861,1762,1846,2875,5801,2330,1643,1798,1540,1678,1775,1913,1695,1451,1368,1043,521,503
0500000US01111,"Randolph County, Alabama",22574,1290,1432,1300,1542,1272,1192,1235,1246,1369,1374,1569,1408,1833,1400,1272,935,480,425
0500000US01113,"Russell County, Alabama",58213,4258,4630,3201,3421,3753,4801,4102,3536,3916,3618,3949,3899,3353,2593,2059,1309,1067,748
0500000US01115,"St. Clair County, Alabama",87306,5241,5279,6058,5144,4886,5466,5827,5376,6010,6375,6098,6314,5341,5031,3515,2359,1796,1190
0500000US01117,"Shelby County, Alabama",211261,12500,14065,14839,14336,12099,12672,13634,14434,15357,15293,14900,13510,13497,11006,7733,5458,3218,2710
0500000US01119,"Sumter County, Alabama",12985,702,693,661,1385,1686,662,492,601,616,682,771,993,843,616,568,353,414,247
0500000US01121,"Talladega County, Alabama",80565,4301,5040,4796,5044,5262,5143,4706,4824,5234,5477,5569,5609,5803,4763,3554,2409,1628,1403
0500000US01123,"Tallapoosa County, Alabama",40636,2211,2650,2217,2712,2264,2167,2123,2087,2255,2593,2882,3055,3146,2556,2479,1320,1069,850
0500000US01125,"Tuscaloosa County, Alabama",206213,12348,11967,11702,19497,23145,17215,13204,12816,11753,11393,11674,11711,12103,8707,6725,4392,2943,2918
0500000US01127,"Walker County, Alabama",64493,3986,4028,3811,4003,3691,3953,3636,3489,4122,4181,4524,4749,4296,3578,3549,2275,1406,1216
0500000US01129,"Washington County, Alabama",16643,616,889,1422,1203,1044,756,940,814,948,1044,1431,1109,1389,1003,863,583,414,175
0500000US01131,"Wilcox County, Alabama",10809,666,497,930,847,665,649,512,502,801,604,641,733,777,707,445,266,329,238
0500000US01133,"Winston County, Alabama",23875,1246,1193,1653,1368,1231,1273,1311,1273,1402,1583,1760,1874,1681,1518,1467,967,543,532
