GEO_ID,NAME,YEAR,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
0500000US04019,"Pima County, Arizona",2020,1038476,57606,59439,62039,68933,90722,71673,61309,63150,55403,56790,57183,63040,65869,64379,52212,40094,25133,23502
0500000US04021,"Pinal County, Arizona",2020,447559,25177,27766,31192,27117,24892,28879,30065,29932,28236,25847,23848,26394,26392,30239,25013,19600,9421,7549
0500000US04023,"Santa Cruz County, Arizona",2020,46594,3126,3578,3718,3588,2915,2673,2575,2796,2315,2576,2681,2656,3062,2421,2401,1543,878,1092
0500000US04025,"Yavapai County, Arizona",2020,232396,9402,9986,11464,11656,10339,10792,10158,10502,10061,11156,13377,17519,22486,22884,21137,13951,7920,7606
0500000US04027,"Yuma County, Arizona",2020,211931,14977,13900,15658,15016,17631,15630,13730,11685,11414,10591,10627,9869,10763,10498,9518,9584,6347,4493
0500000US05001,"Arkansas County, Arkansas",2020,17761,1119,1229,1109,1076,868,1069,991,1147,977,1049,1140,1112,1469,1133,858,699,344,372
0500000US05003,"Ashley County, Arkansas",2020,20000,1193,1603,1052,1355,1192,1067,818,1216,1077,1327,1230,1436,1339,1176,1229,803,359,528
0500000US05005,"Baxter County, Arkansas",2020,41673,1740,1994,2118,2105,1670,1940,1960,1936,2037,2215,2477,2907,3576,3501,3282,2900,1772,1543
0500000US05007,"Benton County, Arkansas",2020,273510,19142,19960,20841,18428,15714,19823,20695,20819,18315,17803,15975,15373,13788,13447,8037,7800,3785,3765
0500000US05009,"Boone County, Arkansas",2020,37525,2208,2418,2459,2138,2020,2387,2064,2066,2106,2244,2560,2641,2376,2332,2146,1389,829,1142
0500000US05011,"Bradley County, Arkansas",2020,10805,677,775,797,610,424,778,448,817,811,659,667,513,839,607,438,514,193,238
0500000US05013,"Calhoun County, Arkansas",2020,5160,202,236,314,376,259,326,286,287,288,236,396,420,443,304,281,289,149,68
0500000US05015,"Carroll County, Arkansas",2020,28062,1544,1768,1781,1795,1315,1423,1547,1245,1668,1594,1741,1742,2450,2154,1822,1096,736,641
0500000US05017,"Chicot County, Arkansas",2020,10433,602,636,812,524,573,607,566,590,481,649,621,820,781,616,510,471,305,269
0500000US05019,"Clark County, Arkansas",2020,22341,1182,1112,1272,2483,3258,1253,1146,960,1092,1173,1165,1305,1252,1219,818,568,624,459
0500000US05021,"Clay County, Arkansas",2020,14710,788,780,1025,868,787,885,810,933,795,886,987,989,1038,919,783,714,382,341
0500000US05023,"Cleburne County, Arkansas",2020,25063,1204,1260,1417,1372,1075,1170,1304,1353,1330,1323,1619,1975,1936,1855,1724,1285,963,898
0500000US05025,"Cleveland County, Arkansas",2020,8063,391,445,688,466,330,394,497,466,463,581,505,624,556,552,449,224,249,183
0500000US05027,"Columbia County, Arkansas",2020,23620,1449,1368,1263,2038,2897,1472,1125,1455,1074,1295,1220,1483,1396,1076,1133,649,527,700
0500000US05029,"Conway County, Arkansas",2020,20895,1197,1232,1560,1302,1035,1231,1180,846,1485,1290,1511,1507,1511,1237,1019,570,545,637
0500000US05031,"Craighead County, Arkansas",2020,109081,7547,7659,7342,8133,8216,8999,7706,7369,6873,6202,6099,6620,5349,5170,3399,2470,1993,1935
0500000US05033,"Crawford County, Arkansas",2020,63118,4019,3918,4715,4266,3556,3895,4173,3746,3790,3792,4278,4436,3942,3175,2915,2168,1270,1064
0500000US05035,"Crittenden County, Arkansas",2020,48381,3706,3877,3327,3495,3099,3360,3085,3086,2663,2878,3079,2954,3078,2361,1630,1145,925,633
0500000US05037,"Cross County, Arkansas",2020,16576,1101,1086,1106,1047,792,1117,877,938,1115,1067,1036,1252,981,1006,842,756,243,214
0500000US05039,"Dallas County, Arkansas",2020,7114,358,264,425,707,348,307,493,439,206,441,391,571,525,551,368,266,246,208
0500000US05041,"Desha County, Arkansas",2020,11538,745,799,897,804,571,692,554,590,762,622,670,875,793,671,584,387,266,256
0500000US05043,"Drew County, Arkansas",2020,18263,1128,931,1212,1637,1719,1072,1104,824,1056,1004,977,1022,1295,1252,633,723,377,297
0500000US05045,"Faulkner County, Arkansas",2020,124800,7588,8123,8071,9891,13777,9526,8469,9174,6462,7408,7073,7321,6333,4923,4576,2880,1721,1484
0500000US05047,"Franklin County, Arkansas",2020,17785,1032,1209,1056,1190,1120,983,947,946,1096,1093,1112,1055,1403,1291,735,584,391,542
0500000US05049,"Fulton County, Arkansas",2020,12301,601,683,791,647,601,533,572,651,559,697,806,769,1189,757,1001,500,555,389
0500000US05051,"Garland County, Arkansas",2020,99043,5227,6157,4897,5626,5218,5802,5376,6121,5001,5745,6002,7027,7348,6610,6612,4272,3260,2742
0500000US05053,"Grant County, Arkansas",2020,18229,1012,1155,1206,1068,1003,1129,1111,1414,841,1166,1368,1495,1065,983,863,754,422,174
0500000US05055,"Greene County, Arkansas",2020,45197,3013,3101,3063,2869,2807,3141,2989,2799,2860,2998,2906,2896,2526,2662,1515,1573,699,780
0500000US05057,"Hempstead County, Arkansas",2020,21695,1486,1509,1650,1266,1426,1120,1067,1054,1553,1476,1172,1524,1455,1358,830,901,432,416
0500000US05059,"Hot Spring County, Arkansas",2020,33667,1645,2222,2086,1847,1732,2445,2123,2335,1835,2181,2245,2171,2491,2293,1481,1236,747,552
0500000US05061,"Howard County, Arkansas",2020,13267,939,835,1044,1000,682,765,551,914,976,637,899,682,969,735,600,376,387,276
0500000US05063,"Independence County, Arkansas",2020,37585,2492,2195,2743,2621,2323,2129,2277,2314,2177,2275,2351,2517,2654,2200,1512,1046,822,937
0500000US05065,"Izard County, Arkansas",2020,13596,600,470,890,663,629,794,730,666,718,912,922,1058,1083,959,916,871,366,349
0500000US05067,"Jackson County, Arkansas",2020,16908,902,933,947,910,1053,1337,1086,1287,1073,1010,1086,1247,1016,1063,738,655,225,340
0500000US05069,"Jefferson County, Arkansas",2020,68123,4057,4111,4145,4806,4835,4647,4052,3827,4190,3949,4387,4546,4785,3763,3308,2054,1244,1417
0500000US05071,"Johnson County, Arkansas",2020,26475,1658,1592,2074,1970,1734,1487,1558,1623,1597,1511,1818,1600,1902,1355,1242,1007,361,386
0500000US05073,"Lafayette County, Arkansas",2020,6728,359,344,345,318,505,327,284,326,373,360,470,645,479,476,387,290,290,150
0500000US05075,"Lawrence County, Arkansas",2020,16511,955,924,1091,1148,1113,1067,872,1008,861,953,1073,982,1244,910,858,628,290,534
0500000US05077,"Lee County, Arkansas",2020,8963,475,434,434,514,568,659,580,533,697,661,506,666,504,538,437,304,200,253
0500000US05079,"Lincoln County, Arkansas",2020,13278,570,527,751,489,967,1178,1170,1245,810,897,1042,730,853,798,413,358,235,245
0500000US05081,"Little River County, Arkansas",2020,12345,785,633,874,649,648,583,655,874,817,640,939,832,757,762,791,599,367,140
0500000US05083,"Logan County, Arkansas",2020,21619,1298,1218,1294,1301,1165,1287,1241,1373,1114,1383,1546,1476,1591,1464,1012,874,524,458
0500000US05085,"Lonoke County, Arkansas",2020,73163,4911,4483,5967,5014,3964,5336,5066,5433,4584,4800,4811,4526,4317,3352,2656,1732,1018,1193
0500000US05087,"Madison County, Arkansas",2020,16393,1101,1024,982,1056,788,1180,964,800,949,1007,1085,1291,1050,1019,870,529,424,274
0500000US05089,"Marion County, Arkansas",2020,16586,729,931,834,777,638,765,728,793,710,892,1073,1555,1510,1679,1102,1099,325,446
0500000US05091,"Miller County, Arkansas",2020,43515,2654,2960,2876,2933,2479,2991,2799,2222,3178,2709,2831,2963,2723,2384,1904,1708,711,490
0500000US05093,"Mississippi County, Arkansas",2020,41396,2972,3003,2995,2908,2550,3007,2548,2141,2906,2293,2583,3080,2321,2218,1402,1178,487,804
0500000US05095,"Monroe County, Arkansas",2020,6879,430,459,335,417,300,419,333,305,425,301,469,540,573,463,413,239,215,243
0500000US05097,"Montgomery County, Arkansas",2020,8964,432,460,449,483,403,437,412,363,483,500,614,729,753,781,587,626,277,175
0500000US05099,"Nevada County, Arkansas",2020,8249,489,550,532,531,432,371,400,482,394,713,440,585,628,464,493,242,204,299
0500000US05101,"Newton County, Arkansas",2020,7753,346,348,460,516,461,344,336,428,297,433,506,437,766,673,598,451,202,151
0500000US05103,"Ouachita County, Arkansas",2020,23597,1304,1205,1934,1359,1368,1178,1375,1129,1235,1527,1522,1766,1884,1758,995,915,485,658
0500000US05105,"Perry County, Arkansas",2020,10342,544,771,517,609,540,541,584,468,863,652,707,633,855,591,616,365,252,234
0500000US05107,"Phillips County, Arkansas",2020,18151,1336,1093,1422,1122,1238,1099,892,1066,850,954,1088,1275,1307,1070,931,529,432,447
0500000US05109,"Pike County, Arkansas",2020,10714,574,741,587,712,590,600,512,472,819,768,683,650,849,627,588,449,293,200
0500000US05111,"Poinsett County, Arkansas",2020,23747,1503,1445,1737,1578,1294,1545,1375,1421,1273,1579,1581,1742,1405,1458,1056,744,472,539
0500000US05113,"Polk County, Arkansas",2020,19999,1158,1294,1276,1286,967,1133,920,876,1314,1129,1254,1349,1479,1188,1430,980,541,425
0500000US05115,"Pope County, Arkansas",2020,63926,4010,3964,4279,5165,5522,4595,4003,3978,3186,3658,3714,3784,4210,3161,2483,1681,1067,1466
0500000US05117,"Prairie County, Arkansas",2020,8138,450,404,527,419,425,410,472,367,452,500,559,651,565,531,478,350,343,235
0500000US05119,"Pulaski County, Arkansas",2020,393078,25869,26022,24793,23150,25594,30134,28010,25891,24401,23939,23521,26108,24704,21929,14950,9374,5716,8973
0500000US05121,"Randolph County, Arkansas",2020,17934,1096,1061,1329,1109,918,1145,1131,1170,879,1046,1105,1063,1317,1181,789,693,506,396
0500000US05123,"St. Francis County, Arkansas",2020,25477,1593,1480,1482,1516,1459,2115,1751,1814,1851,1509,1535,1870,1332,1520,1035,899,386,330
0500000US05125,"Saline County, Arkansas",2020,120990,7059,8020,8087,7663,6113,7574,7934,8677,7980,7588,7572,7626,7442,6974,5678,3943,2989,2071
0500000US05127,"Scott County, Arkansas",2020,10269,615,639,821,534,493,609,641,624,426,539,746,675,757,708,585,410,332,115
0500000US05129,"Searcy County, Arkansas",2020,7898,385,381,493,415,515,303,399,262,519,460,516,622,603,692,462,384,215,272
0500000US05131,"Sebastian County, Arkansas",2020,127670,8332,8701,8327,8441,8440,8721,8249,7800,7834,7806,8206,8506,7837,6610,5663,3332,2176,2689
0500000US05133,"Sevier County, Arkansas",2020,16947,1356,1284,1462,1104,1123,1170,935,987,1000,1259,822,1178,888,870,512,403,395,199
0500000US05135,"Sharp County, Arkansas",2020,17217,866,774,1229,1048,758,863,755,996,792,1022,1065,1360,1196,1282,1301,866,431,613
0500000US05137,"Stone County, Arkansas",2020,12582,578,677,727,629,668,630,527,799,452,616,755,1317,801,764,1095,518,659,370
0500000US05139,"Union County, Arkansas",2020,39089,2617,2617,2675,2369,2271,2282,2350,1796,2745,2448,2441,2606,2958,2331,1698,1143,946,796
0500000US05141,"Van Buren County, Arkansas",2020,16578,754,953,819,1065,745,711,831,820,830,1007,1038,1434,1281,1297,1010,879,539,565
0500000US05143,"Washington County, Arkansas",2020,236198,15903,16803,15426,19256,24679,18804,16662,15010,16022,13804,12419,12902,10951,9621,6941,4620,3330,3045
