state,year,week,total_patients,ili_patients,providers
South Carolina,2018,45,15992,406,24
South Dakota,2018,45,16676,152,32
Tennessee,2018,45,7545,76,47
Teas,2018,45,29883,945,111
Utah,2018,45,20800,428,51
Vermont,2018,45,5017,45,14
Virginia,2018,45,81356,1850,120
Washington,2018,45,6054,30,28
West Virginia,2018,45,16498,173,47
Wisconsin,2018,45,20736,280,40
Wyoming,2018,45,4225,41,22
Puerto Rico,2018,45,1987,150,4
Virgin Islands,2018,45,761,6,3
New York City,2018,45,96750,2257,76
Alabama,2018,46,37490,1111,80
Alaska,2018,46,4450,114,17
Arizona,2018,46,17148,363,46
Arkansas,2018,46,4429,110,15
California,2018,46,45451,943,115
Colorado,2018,46,37526,1160,69
Connecticut,2018,46,5633,138,21
Delaware,2018,46,2409,10,10
District of Columbia,2018,46,13255,338,5
Florida,2018,46,,,
Georgia,2018,46,77038,2888,98
Hawaii,2018,46,1591,27,18
Idaho,2018,46,1538,20,8
Illinois,2018,46,47240,649,100
Indiana,2018,46,5351,81,25
Iowa,2018,46,7221,28,22
Kansas,2018,46,14697,209,38
Kentucky,2018,46,12057,207,41
Louisiana,2018,46,47112,1930,96
Maine,2018,46,13140,149,51
Maryland,2018,46,8234,65,26
Massachusetts,2018,46,48459,577,58
Michigan,2018,46,24401,354,89
Minnesota,2018,46,7530,139,22
Mississippi,2018,46,16016,523,48
Missouri,2018,46,3445,18,16
Montana,2018,46,8540,61,36
Nebraska,2018,46,6684,175,46
Nevada,2018,46,15339,100,33
New Hampshire,2018,46,2668,6,15
New Jersey,2018,46,31383,1014,45
New Meico,2018,46,19382,271,48
New York,2018,46,57006,632,134
North Carolina,2018,46,80578,1375,157
North Dakota,2018,46,3417,39,13
Ohio,2018,46,14815,114,44
Oklahoma,2018,46,9046,332,23
Oregon,2018,46,34996,406,74
Pennsylvania,2018,46,48727,675,128
Rhode Island,2018,46,6114,19,22
South Carolina,2018,46,14282,323,26
South Dakota,2018,46,16619,72,32
Tennessee,2018,46,7199,86,49
Teas,2018,46,28712,973,111
Utah,2018,46,18357,370,51
Vermont,2018,46,4057,46,14
Virginia,2018,46,77162,1896,119
Washington,2018,46,5948,29,28
West Virginia,2018,46,13938,154,46
Wisconsin,2018,46,20427,316,41
Wyoming,2018,46,4035,31,20
Puerto Rico,2018,46,2084,168,5
Virgin Islands,2018,46,759,3,3
New York City,2018,46,92972,2324,77
Alabama,2018,47,35456,1084,80
Alaska,2018,47,4604,121,16
Arizona,2018,47,16003,434,47
Arkansas,2018,47,2784,76,13
California,2018,47,34603,719,115
Colorado,2018,47,34973,986,70
Connecticut,2018,47,4042,106,22
Delaware,2018,47,1562,4,10
District of Columbia,2018,47,11089,239,6
Florida,2018,47,,,
Georgia,2018,47,71842,3230,98
Hawaii,2018,47,1272,22,16
Idaho,2018,47,1087,7,8
Illinois,2018,47,40380,627,102
Indiana,2018,47,2887,54,22
Iowa,2018,47,4595,32,22
Kansas,2018,47,12877,198,37
Kentucky,2018,47,10673,201,43
Louisiana,2018,47,48321,2271,98
Maine,2018,47,12102,140,54
Maryland,2018,47,3993,64,23
Massachusetts,2018,47,39499,644,56
Michigan,2018,47,11263,189,47
Minnesota,2018,47,4987,110,20
Mississippi,2018,47,15474,511,47
Missouri,2018,47,1936,23,17
Montana,2018,47,7295,95,35
Nebraska,2018,47,6339,195,47
Nevada,2018,47,13121,148,33
New Hampshire,2018,47,1563,3,14
New Jersey,2018,47,28805,988,45
New Meico,2018,47,18315,243,46
New York,2018,47,55367,742,136
North Carolina,2018,47,73891,1249,154
North Dakota,2018,47,3250,21,13
Ohio,2018,47,12009,125,46
Oklahoma,2018,47,5495,223,21
Oregon,2018,47,32953,450,76
Pennsylvania,2018,47,41348,663,136
Rhode Island,2018,47,4199,19,23
South Carolina,2018,47,14442,424,27
South Dakota,2018,47,13663,157,32
Tennessee,2018,47,4926,81,50
Teas,2018,47,21960,806,111
Utah,2018,47,17151,522,51
Vermont,2018,47,3669,28,14
Virginia,2018,47,76595,2085,118
Washington,2018,47,4027,30,27
West Virginia,2018,47,8225,117,43
Wisconsin,2018,47,17968,277,40
Wyoming,2018,47,2732,16,19
Puerto Rico,2018,47,2036,187,5
Virgin Islands,2018,47,767,5,3
New York City,2018,47,87110,2442,75
Alabama,2018,48,41155,1263,81
Alaska,2018,48,5014,116,17
Arizona,2018,48,20354,552,48
Arkansas,2018,48,4606,97,15
California,2018,48,50044,1177,114
Colorado,2018,48,42780,1492,71
Connecticut,2018,48,5983,155,22
Delaware,2018,48,2504,5,10
District of Columbia,2018,48,16072,368,6
Florida,2018,48,,,
Georgia,2018,48,81795,3378,99
Hawaii,2018,48,1768,34,18
Idaho,2018,48,1147,7,6
Illinois,2018,48,50693,732,101
Indiana,2018,48,5479,93,24
Iowa,2018,48,5853,35,21
Kansas,2018,48,14031,206,36
Kentucky,2018,48,13575,238,44
Louisiana,2018,48,53941,2424,98
Maine,2018,48,13042,110,55
Maryland,2018,48,7390,83,24
Massachusetts,2018,48,51476,716,57
Michigan,2018,48,26030,386,85
Minnesota,2018,48,7155,149,21
Mississippi,2018,48,18451,631,48
Missouri,2018,48,4067,54,17
Montana,2018,48,7794,69,35
Nebraska,2018,48,7254,195,46
Nevada,2018,48,16732,171,33
New Hampshire,2018,48,2746,5,14
New Jersey,2018,48,33204,1098,44
New Meico,2018,48,21350,299,47
New York,2018,48,62823,828,136
North Carolina,2018,48,102756,1843,158
North Dakota,2018,48,3533,46,13
Ohio,2018,48,17743,204,42
Oklahoma,2018,48,7346,202,21
Oregon,2018,48,36142,443,76
Pennsylvania,2018,48,74305,1065,136
Rhode Island,2018,48,6220,37,23
South Carolina,2018,48,16164,479,26
South Dakota,2018,48,18856,186,32
Tennessee,2018,48,8136,122,49
Teas,2018,48,30758,1104,110
Utah,2018,48,19433,456,51
Vermont,2018,48,5024,47,15
Virginia,2018,48,83079,2158,119
Washington,2018,48,6009,40,25
West Virginia,2018,48,14425,188,48
Wisconsin,2018,48,21110,338,40
Wyoming,2018,48,3847,32,19
Puerto Rico,2018,48,2059,150,4
Virgin Islands,2018,48,1526,17,5
New York City,2018,48,100477,2575,76
Alabama,2018,49,38716,1152,82
Alaska,2018,49,4721,114,17
Arizona,2018,49,19690,525,48
Arkansas,2018,49,4826,94,16
California,2018,49,47271,1206,113
Colorado,2018,49,41382,1606,70
Connecticut,2018,49,6547,240,20
Delaware,2018,49,2155,14,10
District of Columbia,2018,49,9187,341,4
Florida,2018,49,,,
Georgia,2018,49,78025,3182,98
Hawaii,2018,49,1626,36,18
Idaho,2018,49,1292,9,6
Illinois,2018,49,51096,788,100
Indiana,2018,49,5273,96,25
Iowa,2018,49,7188,39,22
Kansas,2018,49,14382,192,36
Kentucky,2018,49,11940,184,39
Louisiana,2018,49,50531,2001,97
Maine,2018,49,13238,113,55
Maryland,2018,49,7349,70,25
Massachusetts,2018,49,50580,762,57
Michigan,2018,49,25604,352,86
Minnesota,2018,49,7795,148,23
Mississippi,2018,49,16759,540,48
Missouri,2018,49,3862,63,17
Montana,2018,49,8411,56,34
Nebraska,2018,49,7710,179,46
Nevada,2018,49,15291,168,31
New Hampshire,2018,49,2911,21,16
New Jersey,2018,49,32837,1172,43
New Meico,2018,49,20183,318,46
New York,2018,49,60697,892,134
North Carolina,2018,49,101346,1792,157
North Dakota,2018,49,3539,28,13
Ohio,2018,49,18838,208,47
Oklahoma,2018,49,6734,197,21
Oregon,2018,49,34144,440,75
Pennsylvania,2018,49,53263,811,135
Rhode Island,2018,49,6022,59,23
South Carolina,2018,49,15780,418,25
South Dakota,2018,49,17554,164,32
Tennessee,2018,49,6914,125,51
Teas,2018,49,28454,1017,110
Utah,2018,49,19318,474,51
Vermont,2018,49,5033,65,15
Virginia,2018,49,79515,2071,118
Washington,2018,49,5422,33,27
West Virginia,2018,49,15030,155,48
Wisconsin,2018,49,21156,311,41
Wyoming,2018,49,3604,44,19
Puerto Rico,2018,49,2060,218,4
Virgin Islands,2018,49,1257,5,4
New York City,2018,49,99044,2818,74
Alabama,2018,50,38703,1420,82
Alaska,2018,50,4853,134,17
Arizona,2018,50,18969,622,47
Arkansas,2018,50,4424,131,14
California,2018,50,46742,1356,115
Colorado,2018,50,42434,2122,70
Connecticut,2018,50,5798,196,23
Delaware,2018,50,2287,15,10
District of Columbia,2018,50,14952,426,5
Florida,2018,50,,,
Georgia,2018,50,80219,4258,97
Hawaii,2018,50,1571,23,18
Idaho,2018,50,1534,7,6
Illinois,2018,50,50461,849,101
Indiana,2018,50,4775,108,24
Iowa,2018,50,6779,43,22
Kansas,2018,50,13362,257,36
Kentucky,2018,50,12433,383,42
Louisiana,2018,50,50015,1978,97
Maine,2018,50,14121,141,55
Maryland,2018,50,6980,107,25
Massachusetts,2018,50,51321,867,59
Michigan,2018,50,26050,420,87
Minnesota,2018,50,7181,192,24
Mississippi,2018,50,17052,581,48
Missouri,2018,50,3510,83,17
Montana,2018,50,8848,79,35
Nebraska,2018,50,8325,273,47
Nevada,2018,50,15533,227,33
New Hampshire,2018,50,2769,7,14
New Jersey,2018,50,33328,1371,45
New Meico,2018,50,21055,489,46
New York,2018,50,59887,1172,133
North Carolina,2018,50,90867,1779,154
North Dakota,2018,50,3765,47,13
Ohio,2018,50,17004,199,43
Oklahoma,2018,50,7930,249,22
Oregon,2018,50,34116,533,75
Pennsylvania,2018,50,50612,958,132
Rhode Island,2018,50,6259,53,23
South Carolina,2018,50,15512,508,25
South Dakota,2018,50,14260,85,31
Tennessee,2018,50,6003,131,47
Teas,2018,50,27738,1148,110
Utah,2018,50,18021,446,51
Vermont,2018,50,4787,100,14
Virginia,2018,50,75712,2233,118
Washington,2018,50,5541,41,28
West Virginia,2018,50,13010,213,44
Wisconsin,2018,50,20794,343,41
Wyoming,2018,50,3616,62,19
Puerto Rico,2018,50,2111,210,5
Virgin Islands,2018,50,826,8,3
New York City,2018,50,99254,3187,71
