state,year,week,total_patients,ili_patients,providers
Colorado,2021,22,35647,391,78
Connecticut,2021,22,40031,338,68
Delaware,2021,22,8102,41,15
District of Columbia,2021,22,2239,76,1
Florida,2021,22,,,
Georgia,2021,22,72749,1787,91
Hawaii,2021,22,1810,13,15
Idaho,2021,22,9435,78,31
Illinois,2021,22,66350,548,175
Indiana,2021,22,51585,513,100
Iowa,2021,22,2809,16,12
Kansas,2021,22,9537,78,18
Kentucky,2021,22,32961,340,78
Louisiana,2021,22,41909,543,88
Maine,2021,22,13465,56,49
Maryland,2021,22,38423,294,58
Massachusetts,2021,22,64537,462,83
Michigan,2021,22,16087,40,62
Minnesota,2021,22,29603,167,74
Mississippi,2021,22,11411,236,25
Missouri,2021,22,21314,284,47
Montana,2021,22,7530,52,30
Nebraska,2021,22,12984,295,70
Nevada,2021,22,6889,47,24
New Hampshire,2021,22,691,0,7
New Jersey,2021,22,26127,464,33
New Meico,2021,22,19188,250,41
New York,2021,22,48992,547,120
North Carolina,2021,22,72845,516,129
North Dakota,2021,22,3378,28,10
Ohio,2021,22,8130,85,23
Oklahoma,2021,22,3619,11,12
Oregon,2021,22,39202,235,85
Pennsylvania,2021,22,59316,372,95
Rhode Island,2021,22,11854,29,29
South Carolina,2021,22,16511,158,24
South Dakota,2021,22,7952,69,32
Tennessee,2021,22,35415,552,106
Teas,2021,22,46460,759,66
Utah,2021,22,16329,246,46
Vermont,2021,22,3206,21,9
Virginia,2021,22,96609,1058,169
Washington,2021,22,34863,215,68
West Virginia,2021,22,8656,26,27
Wisconsin,2021,22,19729,151,35
Wyoming,2021,22,2106,20,10
Commonwealth of the Northern Mariana Islands,2021,22,,,
Puerto Rico,2021,22,1836,64,5
Virgin Islands,2021,22,1562,5,4
New York City,2021,22,70133,751,26
Alabama,2021,23,38995,498,90
Alaska,2021,23,3557,22,11
Arizona,2021,23,8548,68,19
Arkansas,2021,23,15560,205,50
California,2021,23,65086,717,105
Colorado,2021,23,40228,404,78
Connecticut,2021,23,42070,312,68
Delaware,2021,23,8435,35,14
District of Columbia,2021,23,3498,67,1
Florida,2021,23,,,
Georgia,2021,23,71955,1446,91
Hawaii,2021,23,1771,8,15
Idaho,2021,23,8885,60,31
Illinois,2021,23,70781,561,176
Indiana,2021,23,53056,542,99
Iowa,2021,23,3116,18,11
Kansas,2021,23,10125,96,18
Kentucky,2021,23,32761,255,76
Louisiana,2021,23,43623,581,88
Maine,2021,23,15179,62,49
Maryland,2021,23,40140,317,56
Massachusetts,2021,23,70615,491,81
Michigan,2021,23,17355,39,62
Minnesota,2021,23,36991,205,74
Mississippi,2021,23,10135,172,22
Missouri,2021,23,29532,353,48
Montana,2021,23,7690,32,30
Nebraska,2021,23,13695,207,70
Nevada,2021,23,7770,78,26
New Hampshire,2021,23,975,1,8
New Jersey,2021,23,26937,449,32
New Meico,2021,23,20044,252,38
New York,2021,23,53228,596,120
North Carolina,2021,23,73973,518,128
North Dakota,2021,23,1423,30,10
Ohio,2021,23,8999,107,23
Oklahoma,2021,23,3937,25,13
Oregon,2021,23,38265,252,86
Pennsylvania,2021,23,62665,389,95
Rhode Island,2021,23,13013,43,28
South Carolina,2021,23,15134,160,23
South Dakota,2021,23,9192,78,31
Tennessee,2021,23,36547,434,109
Teas,2021,23,42871,685,50
Utah,2021,23,17293,252,46
Vermont,2021,23,3591,18,9
Virginia,2021,23,99371,1103,169
Washington,2021,23,34759,243,68
West Virginia,2021,23,8029,23,23
Wisconsin,2021,23,20646,122,35
Wyoming,2021,23,2430,17,11
Commonwealth of the Northern Mariana Islands,2021,23,,,
Puerto Rico,2021,23,1932,73,5
Virgin Islands,2021,23,1561,4,4
New York City,2021,23,75894,807,28
Alabama,2021,24,39497,412,89
Alaska,2021,24,3459,25,11
Arizona,2021,24,8610,66,19
Arkansas,2021,24,15851,245,50
California,2021,24,65446,705,103
Colorado,2021,24,40155,403,79
Connecticut,2021,24,40947,369,68
Delaware,2021,24,8625,38,15
District of Columbia,2021,24,2753,85,1
Florida,2021,24,,,
Georgia,2021,24,69616,1300,90
Hawaii,2021,24,1825,11,15
Idaho,2021,24,9098,81,31
Illinois,2021,24,70591,523,176
Indiana,2021,24,51108,485,98
Iowa,2021,24,3088,24,11
Kansas,2021,24,9886,90,17
Kentucky,2021,24,34287,317,76
Louisiana,2021,24,43023,544,88
Maine,2021,24,15195,94,50
Maryland,2021,24,38630,365,54
Massachusetts,2021,24,70125,546,83
Michigan,2021,24,5124,11,19
Minnesota,2021,24,37376,185,76
Mississippi,2021,24,10876,220,26
Missouri,2021,24,29357,389,48
Montana,2021,24,7860,46,30
Nebraska,2021,24,13638,239,70
Nevada,2021,24,7489,139,24
New Hampshire,2021,24,1103,0,8
New Jersey,2021,24,26758,512,32
New Meico,2021,24,18828,222,35
New York,2021,24,50950,653,120
North Carolina,2021,24,75977,520,128
North Dakota,2021,24,3355,23,10
Ohio,2021,24,9800,135,25
Oklahoma,2021,24,4061,11,13
Oregon,2021,24,38164,238,85
Pennsylvania,2021,24,62134,427,96
Rhode Island,2021,24,12923,35,30
South Carolina,2021,24,14041,98,22
South Dakota,2021,24,9212,59,31
Tennessee,2021,24,36461,468,105
Teas,2021,24,44780,785,49
Utah,2021,24,17547,247,46
Vermont,2021,24,3451,26,9
Virginia,2021,24,100078,1195,169
Washington,2021,24,35220,259,68
West Virginia,2021,24,9435,23,24
Wisconsin,2021,24,20795,135,35
Wyoming,2021,24,2462,14,11
Commonwealth of the Northern Mariana Islands,2021,24,,,
Puerto Rico,2021,24,1964,110,5
Virgin Islands,2021,24,1532,6,4
New York City,2021,24,75273,917,29
Alabama,2021,25,38651,432,89
Alaska,2021,25,3635,29,11
Arizona,2021,25,8456,65,19
Arkansas,2021,25,15978,207,50
California,2021,25,66973,773,106
Colorado,2021,25,38899,421,78
Connecticut,2021,25,40992,342,68
Delaware,2021,25,8920,43,15
District of Columbia,2021,25,2815,73,1
Florida,2021,25,,,
Georgia,2021,25,67599,1220,89
Hawaii,2021,25,1636,9,13
Idaho,2021,25,9319,75,31
Illinois,2021,25,68933,564,176
Indiana,2021,25,50545,485,97
Iowa,2021,25,2692,21,10
Kansas,2021,25,9607,87,18
Kentucky,2021,25,31729,246,74
Louisiana,2021,25,42088,558,88
Maine,2021,25,14783,94,49
Maryland,2021,25,39660,468,54
Massachusetts,2021,25,69529,552,82
Michigan,2021,25,5898,13,19
Minnesota,2021,25,36940,157,76
Mississippi,2021,25,10864,223,26
Missouri,2021,25,29164,397,48
Montana,2021,25,7794,55,30
Nebraska,2021,25,13588,207,69
Nevada,2021,25,7389,63,24
New Hampshire,2021,25,983,0,8
New Jersey,2021,25,26820,498,33
New Meico,2021,25,19763,208,37
New York,2021,25,50378,635,120
North Carolina,2021,25,75686,570,128
North Dakota,2021,25,3096,26,10
Ohio,2021,25,10034,140,23
Oklahoma,2021,25,3888,12,12
Oregon,2021,25,38674,241,85
Pennsylvania,2021,25,62266,437,95
Rhode Island,2021,25,10832,34,27
South Carolina,2021,25,13118,123,23
South Dakota,2021,25,8702,71,30
Tennessee,2021,25,36372,468,106
Teas,2021,25,44532,806,49
Utah,2021,25,17365,242,46
Vermont,2021,25,3633,24,9
Virginia,2021,25,100962,1307,169
Washington,2021,25,35697,271,68
West Virginia,2021,25,7187,22,26
Wisconsin,2021,25,20474,136,35
Wyoming,2021,25,2410,24,11
Commonwealth of the Northern Mariana Islands,2021,25,,,
Puerto Rico,2021,25,1977,115,5
Virgin Islands,2021,25,1493,3,4
New York City,2021,25,74322,911,28
Alabama,2021,26,38372,452,89
Alaska,2021,26,3572,29,11
Arizona,2021,26,12249,88,29
Arkansas,2021,26,15208,259,50
California,2021,26,63848,805,101
Colorado,2021,26,38238,443,78
Connecticut,2021,26,41198,306,68
Delaware,2021,26,8783,46,15
District of Columbia,2021,26,2625,89,1
Florida,2021,26,,,
Georgia,2021,26,66075,1152,88
Hawaii,2021,26,1802,12,14
Idaho,2021,26,9564,64,31
Illinois,2021,26,69906,557,177
Indiana,2021,26,49080,413,95
Iowa,2021,26,2652,15,10
Kansas,2021,26,8810,115,17
Kentucky,2021,26,31843,253,75
Louisiana,2021,26,42716,575,88
Maine,2021,26,15329,97,48
Maryland,2021,26,39800,399,54
Massachusetts,2021,26,69549,503,83
Michigan,2021,26,5825,15,19
Minnesota,2021,26,36930,157,75
Mississippi,2021,26,9338,181,20
Missouri,2021,26,20846,266,47
Montana,2021,26,8096,50,30
Nebraska,2021,26,13904,187,71
Nevada,2021,26,7864,134,24
New Hampshire,2021,26,942,2,8
New Jersey,2021,26,26773,538,33
New Meico,2021,26,19150,222,37
New York,2021,26,51931,656,119
North Carolina,2021,26,90483,824,128
North Dakota,2021,26,3343,27,10
Ohio,2021,26,8607,100,22
Oklahoma,2021,26,3167,4,12
Oregon,2021,26,40003,224,84
Pennsylvania,2021,26,62551,419,95
Rhode Island,2021,26,9700,37,27
South Carolina,2021,26,15401,111,23
South Dakota,2021,26,9058,75,31
Tennessee,2021,26,36191,478,109
Teas,2021,26,43378,734,48
Utah,2021,26,17685,246,46
Vermont,2021,26,3840,20,9
Virginia,2021,26,101080,1309,169
Washington,2021,26,37725,268,68
West Virginia,2021,26,8047,12,26
Wisconsin,2021,26,20353,134,34
Wyoming,2021,26,2437,12,11
Commonwealth of the Northern Mariana Islands,2021,26,,,
Puerto Rico,2021,26,2214,127,5
Virgin Islands,2021,26,1451,5,4
New York City,2021,26,76197,911,28
Alabama,2021,27,39333,460,89
Alaska,2021,27,3696,41,11
Arizona,2021,27,11846,98,29
Arkansas,2021,27,15707,277,50
California,2021,27,64304,841,102
Colorado,2021,27,37979,370,78
Connecticut,2021,27,41239,363,68
Delaware,2021,27,8153,43,16
District of Columbia,2021,27,2474,75,1
Florida,2021,27,,,
Georgia,2021,27,68345,1249,86
Hawaii,2021,27,1556,13,13
Idaho,2021,27,9709,67,31
Illinois,2021,27,66783,604,171
Indiana,2021,27,52450,471,96
Iowa,2021,27,2298,14,10
Kansas,2021,27,9575,114,17
Kentucky,2021,27,33888,330,73
Louisiana,2021,27,44898,695,88
Maine,2021,27,14751,110,48
Maryland,2021,27,40740,478,53
Massachusetts,2021,27,66648,570,82
Michigan,2021,27,4995,15,19
Minnesota,2021,27,31375,122,77
Mississippi,2021,27,9432,204,19
Missouri,2021,27,30634,460,48
Montana,2021,27,7727,44,30
Nebraska,2021,27,13651,200,71
Nevada,2021,27,7483,110,22
New Hampshire,2021,27,731,0,8
New Jersey,2021,27,28376,565,33
New Meico,2021,27,20284,262,37
New York,2021,27,51903,591,119
North Carolina,2021,27,93309,880,128
North Dakota,2021,27,3417,32,10
Ohio,2021,27,8171,102,23
Oklahoma,2021,27,4564,24,13
Oregon,2021,27,39819,286,84
Pennsylvania,2021,27,63488,470,94
Rhode Island,2021,27,10181,38,28
South Carolina,2021,27,15587,119,24
South Dakota,2021,27,7573,57,28
Tennessee,2021,27,36529,571,109
Teas,2021,27,48569,935,61
Utah,2021,27,17233,295,46
Vermont,2021,27,3740,26,9
Virginia,2021,27,102605,1392,169
Washington,2021,27,36017,267,68
West Virginia,2021,27,7522,24,25
Wisconsin,2021,27,21082,155,34
Wyoming,2021,27,2237,8,11
Commonwealth of the Northern Mariana Islands,2021,27,,,
Puerto Rico,2021,27,1355,18,4
Virgin Islands,2021,27,1483,7,4
New York City,2021,27,75276,1016,26
Alabama,2021,28,40071,555,89
Alaska,2021,28,3860,33,11
Arizona,2021,28,11084,83,28
Arkansas,2021,28,16602,302,49
California,2021,28,67298,1096,102
Colorado,2021,28,40419,452,79
Connecticut,2021,28,41206,332,68
Delaware,2021,28,8972,52,16
District of Columbia,2021,28,2646,82,1
Florida,2021,28,,,
Georgia,2021,28,68642,1363,87
Hawaii,2021,28,1819,18,14
Idaho,2021,28,9399,70,31
Illinois,2021,28,71406,670,174
Indiana,2021,28,52989,544,99
Iowa,2021,28,2824,10,10
Kansas,2021,28,9666,114,17
Kentucky,2021,28,34582,348,74
Louisiana,2021,28,46523,897,89
Maine,2021,28,15534,98,48
Maryland,2021,28,41230,612,53
Massachusetts,2021,28,71927,566,82
Michigan,2021,28,5528,10,18
Minnesota,2021,28,37711,124,75
Mississippi,2021,28,11648,267,22
Missouri,2021,28,30756,564,48
Montana,2021,28,8080,49,30
Nebraska,2021,28,14316,243,71
Nevada,2021,28,8003,121,24
New Hampshire,2021,28,1020,1,8
New Jersey,2021,28,28788,620,32
New Meico,2021,28,19051,258,33
New York,2021,28,55333,638,119
North Carolina,2021,28,95743,1011,128
North Dakota,2021,28,3374,36,10
Ohio,2021,28,10146,129,25
Oklahoma,2021,28,4380,46,13
Oregon,2021,28,40227,334,87
Pennsylvania,2021,28,63224,430,94
Rhode Island,2021,28,8020,49,28
South Carolina,2021,28,16241,121,24
South Dakota,2021,28,9532,74,31
Tennessee,2021,28,36750,595,107
Teas,2021,28,51081,1043,62
Utah,2021,28,18246,285,46
Vermont,2021,28,3784,26,9
Virginia,2021,28,105686,1460,168
Washington,2021,28,35928,277,67
West Virginia,2021,28,9827,27,27
Wisconsin,2021,28,21571,182,34
Wyoming,2021,28,1769,6,9
Commonwealth of the Northern Mariana Islands,2021,28,,,
Puerto Rico,2021,28,1445,35,4
Virgin Islands,2021,28,1622,25,4
New York City,2021,28,78526,1068,28
Alabama,2021,29,42274,694,89
Alaska,2021,29,4089,42,11
Arizona,2021,29,11070,111,29
Arkansas,2021,29,15482,319,49
California,2021,29,68916,1157,100
Colorado,2021,29,41242,488,78
Connecticut,2021,29,44616,446,68
Delaware,2021,29,8878,48,14
District of Columbia,2021,29,2225,95,1
Florida,2021,29,,,
Georgia,2021,29,72465,1749,87
Hawaii,2021,29,1658,9,14
Idaho,2021,29,9269,97,31
Illinois,2021,29,72571,716,176
Indiana,2021,29,53768,670,99
Iowa,2021,29,2941,13,10
Kansas,2021,29,9596,145,17
Kentucky,2021,29,35698,486,73
Louisiana,2021,29,50952,1136,89
Maine,2021,29,15584,86,48
Maryland,2021,29,41017,634,53
Massachusetts,2021,29,73441,625,84
Michigan,2021,29,4801,17,18
Minnesota,2021,29,37367,150,76
Mississippi,2021,29,12629,448,24
Missouri,2021,29,31136,549,48
Montana,2021,29,8175,64,30
Nebraska,2021,29,12026,225,69
Nevada,2021,29,7271,68,23
New Hampshire,2021,29,1085,1,8
New Jersey,2021,29,28720,625,32
New Meico,2021,29,20719,389,36
New York,2021,29,53034,732,119
North Carolina,2021,29,95974,1216,128
North Dakota,2021,29,3390,33,10
Ohio,2021,29,10322,145,24
Oklahoma,2021,29,4693,84,14
Oregon,2021,29,40819,385,86
Pennsylvania,2021,29,63409,466,94
Rhode Island,2021,29,7547,47,26
South Carolina,2021,29,16561,206,24
South Dakota,2021,29,9640,78,31
Tennessee,2021,29,37177,668,106
Teas,2021,29,52766,1254,63
Utah,2021,29,17029,314,46
Vermont,2021,29,3718,25,9
Virginia,2021,29,106955,1711,168
Washington,2021,29,35711,345,67
West Virginia,2021,29,9949,31,27
Wisconsin,2021,29,21577,161,35
Wyoming,2021,29,2016,19,9
Commonwealth of the Northern Mariana Islands,2021,29,,,
Puerto Rico,2021,29,2215,183,5
Virgin Islands,2021,29,1462,9,4
New York City,2021,29,78499,1260,26
Alabama,2021,30,46655,778,89
Alaska,2021,30,4093,55,11
Arizona,2021,30,11478,138,29
Arkansas,2021,30,14868,291,48
California,2021,30,69532,1305,102
Colorado,2021,30,41325,490,78
Connecticut,2021,30,45609,531,68
Delaware,2021,30,8790,57,14
District of Columbia,2021,30,6315,293,4
Florida,2021,30,,,
Georgia,2021,30,76456,2276,91
Hawaii,2021,30,1336,18,11
Idaho,2021,30,9486,115,31
Illinois,2021,30,73969,805,175
Indiana,2021,30,55403,726,98
Iowa,2021,30,2842,10,10
Kansas,2021,30,9574,145,16
Kentucky,2021,30,36408,589,73
Louisiana,2021,30,54534,1198,89
Maine,2021,30,15468,128,48
Maryland,2021,30,40712,674,52
Massachusetts,2021,30,73775,728,83
Michigan,2021,30,6179,28,19
Minnesota,2021,30,37652,190,75
Mississippi,2021,30,11726,312,19
Missouri,2021,30,30983,589,48
Montana,2021,30,8437,72,30
Nebraska,2021,30,14397,292,69
Nevada,2021,30,5747,120,21
New Hampshire,2021,30,974,0,8
New Jersey,2021,30,28413,711,33
New Meico,2021,30,20837,389,35
New York,2021,30,53607,743,117
North Carolina,2021,30,98628,1459,130
North Dakota,2021,30,3205,30,9
Ohio,2021,30,9151,107,22
Oklahoma,2021,30,4284,66,12
Oregon,2021,30,42225,494,86
Pennsylvania,2021,30,63568,538,94
Rhode Island,2021,30,12740,60,25
South Carolina,2021,30,17238,173,24
South Dakota,2021,30,9624,83,31
Tennessee,2021,30,38619,886,108
Teas,2021,30,54882,1410,61
Utah,2021,30,18757,294,46
Vermont,2021,30,3679,30,9
Virginia,2021,30,111994,1875,168
Washington,2021,30,37349,361,68
West Virginia,2021,30,8786,41,25
Wisconsin,2021,30,22668,180,35
Wyoming,2021,30,2148,20,9
Commonwealth of the Northern Mariana Islands,2021,30,,,
Puerto Rico,2021,30,2190,191,4
Virgin Islands,2021,30,1628,3,4
New York City,2021,30,77763,1341,25
Alabama,2021,31,47040,917,89
Alaska,2021,31,4156,42,11
Arizona,2021,31,11177,222,28
Arkansas,2021,31,14779,283,49
California,2021,31,69538,1457,102
Colorado,2021,31,41672,421,78
Connecticut,2021,31,45881,538,68
Delaware,2021,31,8702,62,14
District of Columbia,2021,31,6021,289,4
Florida,2021,31,,,
Georgia,2021,31,76558,2576,88
Hawaii,2021,31,1630,21,12
Idaho,2021,31,9405,131,31
Illinois,2021,31,73874,863,174
Indiana,2021,31,55156,871,97
Iowa,2021,31,3162,18,10
Kansas,2021,31,9391,194,16
Kentucky,2021,31,36813,666,74
Louisiana,2021,31,51664,1063,89
Maine,2021,31,15806,120,48
Maryland,2021,31,39999,689,51
Massachusetts,2021,31,72788,759,82
Michigan,2021,31,5799,22,19
Minnesota,2021,31,37296,224,74
Mississippi,2021,31,9748,230,18
Missouri,2021,31,31353,528,48
Montana,2021,31,8360,72,30
Nebraska,2021,31,14904,337,70
Nevada,2021,31,8501,175,24
New Hampshire,2021,31,911,0,8
New Jersey,2021,31,28223,739,33
New Meico,2021,31,21051,488,35
New York,2021,31,54141,855,119
North Carolina,2021,31,98293,1645,128
North Dakota,2021,31,2429,36,10
Ohio,2021,31,9742,139,24
Oklahoma,2021,31,4630,61,14
Oregon,2021,31,42339,607,86
Pennsylvania,2021,31,62888,642,94
Rhode Island,2021,31,12405,50,25
South Carolina,2021,31,17104,237,24
South Dakota,2021,31,10140,92,31
Tennessee,2021,31,38501,872,104
Teas,2021,31,53344,1441,61
Utah,2021,31,18301,293,46
Vermont,2021,31,3602,37,9
Virginia,2021,31,116254,2270,169
Washington,2021,31,38120,421,67
West Virginia,2021,31,7770,35,23
Wisconsin,2021,31,22007,166,35
Wyoming,2021,31,2234,12,9
Commonwealth of the Northern Mariana Islands,2021,31,,,
Puerto Rico,2021,31,2265,206,5
Virgin Islands,2021,31,1510,4,4
New York City,2021,31,78809,1304,28
Alabama,2021,32,48734,928,88
Alaska,2021,32,3866,55,11
Arizona,2021,32,11807,212,28
Arkansas,2021,32,14615,208,49
California,2021,32,69874,1492,100
Colorado,2021,32,42343,509,78
Connecticut,2021,32,47166,560,68
Delaware,2021,32,9097,66,15
District of Columbia,2021,32,2470,113,1
Florida,2021,32,,,
Georgia,2021,32,77705,3630,84
Hawaii,2021,32,1957,21,14
Idaho,2021,32,9359,123,31
Illinois,2021,32,74739,887,174
Indiana,2021,32,56306,986,94
Iowa,2021,32,3363,15,10
Kansas,2021,32,10187,167,17
Kentucky,2021,32,37812,760,73
Louisiana,2021,32,50589,1004,89
Maine,2021,32,16390,107,48
Maryland,2021,32,40660,730,51
Massachusetts,2021,32,74239,771,83
Michigan,2021,32,5283,24,19
Minnesota,2021,32,37593,191,74
Mississippi,2021,32,8681,245,17
Missouri,2021,32,30388,535,48
Montana,2021,32,8145,105,30
Nebraska,2021,32,15068,326,69
Nevada,2021,32,7982,174,23
New Hampshire,2021,32,995,0,8
New Jersey,2021,32,27786,804,32
New Meico,2021,32,22072,609,36
New York,2021,32,56240,849,119
North Carolina,2021,32,101767,1770,129
North Dakota,2021,32,3199,38,9
Ohio,2021,32,9775,160,25
Oklahoma,2021,32,4618,59,14
Oregon,2021,32,41635,742,86
Pennsylvania,2021,32,64230,687,94
Rhode Island,2021,32,11674,56,28
South Carolina,2021,32,17338,258,24
South Dakota,2021,32,10505,68,31
Tennessee,2021,32,39176,965,103
Teas,2021,32,59213,1536,63
Utah,2021,32,18352,286,46
Vermont,2021,32,3962,47,9
Virginia,2021,32,118700,2475,169
Washington,2021,32,39460,493,67
West Virginia,2021,32,8632,26,25
Wisconsin,2021,32,22212,208,35
Wyoming,2021,32,2066,16,8
Commonwealth of the Northern Mariana Islands,2021,32,,,
Puerto Rico,2021,32,2058,187,5
Virgin Islands,2021,32,1048,4,3
New York City,2021,32,78467,1324,27
Alabama,2021,33,48899,1058,89
Alaska,2021,33,3844,44,11
Arizona,2021,33,11689,267,29
Arkansas,2021,33,15516,246,50
California,2021,33,68689,1620,100
Colorado,2021,33,44236,635,78
Connecticut,2021,33,46820,584,68
Delaware,2021,33,9554,68,16
District of Columbia,2021,33,6217,318,4
Florida,2021,33,,,
Georgia,2021,33,80194,4111,86
Hawaii,2021,33,1300,27,11
Idaho,2021,33,8647,133,31
Illinois,2021,33,75922,958,173
Indiana,2021,33,52396,1180,92
Iowa,2021,33,3631,14,10
Kansas,2021,33,9769,171,16
Kentucky,2021,33,37558,955,73
Louisiana,2021,33,49970,873,89
Maine,2021,33,15939,113,47
Maryland,2021,33,39429,661,51
Massachusetts,2021,33,72879,751,82
Michigan,2021,33,5672,46,19
Minnesota,2021,33,37986,188,74
Mississippi,2021,33,12293,387,23
Missouri,2021,33,29450,476,48
Montana,2021,33,7850,91,30
Nebraska,2021,33,15321,379,70
Nevada,2021,33,7876,206,21
New Hampshire,2021,33,975,0,8
New Jersey,2021,33,27687,775,32
New Meico,2021,33,22201,725,35
New York,2021,33,53852,836,116
North Carolina,2021,33,100945,1827,128
North Dakota,2021,33,3431,44,9
Ohio,2021,33,10006,173,23
Oklahoma,2021,33,4477,77,12
Oregon,2021,33,40131,657,86
Pennsylvania,2021,33,64509,677,94
Rhode Island,2021,33,9356,53,26
South Carolina,2021,33,17838,284,24
South Dakota,2021,33,10040,84,31
Tennessee,2021,33,39556,1267,103
Teas,2021,33,52725,1479,58
Utah,2021,33,18836,353,46
Vermont,2021,33,4327,42,10
Virginia,2021,33,122131,2899,169
Washington,2021,33,38922,492,67
West Virginia,2021,33,8573,38,25
Wisconsin,2021,33,22520,206,35
Wyoming,2021,33,2172,15,8
Commonwealth of the Northern Mariana Islands,2021,33,,,
Puerto Rico,2021,33,1804,152,4
Virgin Islands,2021,33,1524,4,4
New York City,2021,33,78018,1352,24
Alabama,2021,34,50108,1324,88
Alaska,2021,34,3653,65,11
Arizona,2021,34,11824,257,28
Arkansas,2021,34,15662,251,48
California,2021,34,69902,1632,102
Colorado,2021,34,44874,858,79
Connecticut,2021,34,45628,582,68
Delaware,2021,34,10014,76,16
District of Columbia,2021,34,6612,286,4
Florida,2021,34,,,
Georgia,2021,34,75453,3321,82
Hawaii,2021,34,1961,46,14
Idaho,2021,34,9666,200,31
Illinois,2021,34,77945,999,175
Indiana,2021,34,61977,1536,97
Iowa,2021,34,4267,25,11
Kansas,2021,34,10684,200,17
Kentucky,2021,34,39329,968,74
Louisiana,2021,34,46179,742,89
Maine,2021,34,15918,120,46
Maryland,2021,34,39854,721,50
Massachusetts,2021,34,71783,727,83
Michigan,2021,34,4851,23,18
Minnesota,2021,34,38332,164,74
Mississippi,2021,34,6680,219,15
Missouri,2021,34,29576,464,48
Montana,2021,34,7826,81,30
Nebraska,2021,34,14265,412,68
Nevada,2021,34,6966,142,18
New Hampshire,2021,34,1078,0,8
New Jersey,2021,34,28430,776,33
New Meico,2021,34,22159,847,35
New York,2021,34,56021,839,119
North Carolina,2021,34,102967,2047,129
North Dakota,2021,34,3317,51,9
Ohio,2021,34,11316,197,25
Oklahoma,2021,34,4578,80,12
Oregon,2021,34,37646,618,86
Pennsylvania,2021,34,66535,804,93
Rhode Island,2021,34,12597,41,28
South Carolina,2021,34,18380,319,24
South Dakota,2021,34,10202,96,31
Tennessee,2021,34,41969,1257,104
Teas,2021,34,56255,1864,59
Utah,2021,34,20530,474,46
Vermont,2021,34,4337,61,10
Virginia,2021,34,125798,3129,167
Washington,2021,34,37841,464,67
West Virginia,2021,34,8512,98,22
Wisconsin,2021,34,22811,259,35
Wyoming,2021,34,2191,41,8
Commonwealth of the Northern Mariana Islands,2021,34,,,
Puerto Rico,2021,34,2059,185,5
Virgin Islands,2021,34,1530,2,4
New York City,2021,34,76670,1280,23
Alabama,2021,35,46544,1112,89
Alaska,2021,35,3850,53,11
Arizona,2021,35,11272,219,28
Arkansas,2021,35,16550,329,48
California,2021,35,69080,1881,101
Colorado,2021,35,44418,991,78
Connecticut,2021,35,45788,520,68
Delaware,2021,35,8888,66,14
District of Columbia,2021,35,2824,131,1
Florida,2021,35,,,
Georgia,2021,35,66805,2836,85
Hawaii,2021,35,2350,20,12
Idaho,2021,35,9612,250,31
Illinois,2021,35,78242,1066,174
Indiana,2021,35,60193,1284,97
Iowa,2021,35,4558,35,11
Kansas,2021,35,10361,211,17
Kentucky,2021,35,35212,867,73
Louisiana,2021,35,40804,536,88
Maine,2021,35,15713,163,47
Maryland,2021,35,39810,749,52
Massachusetts,2021,35,72450,742,83
Michigan,2021,35,6637,24,17
Minnesota,2021,35,38365,163,75
Mississippi,2021,35,7524,158,16
Missouri,2021,35,29997,586,48
Montana,2021,35,8163,111,30
Nebraska,2021,35,15841,423,71
Nevada,2021,35,8233,207,19
New Hampshire,2021,35,1338,1,8
New Jersey,2021,35,27602,696,33
New Meico,2021,35,21951,743,36
New York,2021,35,55620,817,118
North Carolina,2021,35,102587,2102,128
North Dakota,2021,35,2370,63,9
Ohio,2021,35,10740,201,24
Oklahoma,2021,35,4525,71,14
Oregon,2021,35,37506,595,85
Pennsylvania,2021,35,66674,890,96
Rhode Island,2021,35,12431,43,27
South Carolina,2021,35,19237,337,24
South Dakota,2021,35,9776,88,30
Tennessee,2021,35,37141,1033,102
Teas,2021,35,52411,1773,58
Utah,2021,35,20397,462,46
Vermont,2021,35,4550,33,10
Virginia,2021,35,120293,3419,166
Washington,2021,35,37535,497,67
West Virginia,2021,35,8862,73,23
Wisconsin,2021,35,22669,226,35
Wyoming,2021,35,2632,68,9
Commonwealth of the Northern Mariana Islands,2021,35,,,
Puerto Rico,2021,35,1939,191,5
Virgin Islands,2021,35,1480,1,4
New York City,2021,35,75524,1105,26
Alabama,2021,36,44859,967,89
Alaska,2021,36,332,0,1
Arizona,2021,36,10516,191,28
Arkansas,2021,36,15692,274,48
California,2021,36,64629,1543,97
Colorado,2021,36,39578,872,78
Connecticut,2021,36,47217,601,68
Delaware,2021,36,9408,102,15
District of Columbia,2021,36,2410,124,1
Florida,2021,36,,,
Georgia,2021,36,70278,2499,89
Hawaii,2021,36,2130,27,13
Idaho,2021,36,9471,244,31
Illinois,2021,36,77296,1091,175
Indiana,2021,36,57736,1157,95
Iowa,2021,36,3702,28,12
Kansas,2021,36,10342,212,18
Kentucky,2021,36,34986,805,72
Louisiana,2021,36,43147,493,89
Maine,2021,36,15622,170,47
Maryland,2021,36,40492,937,52
Massachusetts,2021,36,72016,889,82
Michigan,2021,36,5895,36,21
Minnesota,2021,36,31560,189,75
Mississippi,2021,36,10439,273,20
Missouri,2021,36,31624,685,49
Montana,2021,36,8003,129,30
